valid_time,latitude,longitude,number,expver,tp,cp,lsp
2000-01-01,25.74,80.18,0,0001,0.0,0.0,0.0
2000-01-02,25.74,80.18,0,0001,0.0,0.0,0.0
2000-01-03,25.74,80.18,0,0001,0.0,0.0,0.0
2000-01-04,25.74,80.18,0,0001,0.0,0.0,0.0
2000-01-05,25.74,80.18,0,0001,0.0,0.0,0.0
2000-01-06,25.74,80.18,0,0001,0.0,0.0,0.0
2000-01-07,25.74,80.18,0,0001,0.0,0.0,0.0
2000-01-08,25.74,80.18,0,0001,0.0,0.0,0.0
2000-01-09,25.74,80.18,0,0001,0.0,0.0,0.0
2000-01-10,25.74,80.18,0,0001,0.0,0.0,0.0
2000-01-11,25.74,80.18,0,0001,0.0,0.0,0.0
2000-01-12,25.74,80.18,0,0001,0.0,0.0,0.0
2000-01-13,25.74,80.18,0,0001,0.0,0.0,0.0
2000-01-14,25.74,80.18,0,0001,0.0,0.0,0.0
2000-01-15,25.74,80.18,0,0001,0.0,0.0,0.0
2000-01-16,25.74,80.18,0,0001,0.0,0.0,0.0
2000-01-17,25.74,80.18,0,0001,0.0,0.0,0.0
2000-01-18,25.74,80.18,0,0001,0.0,0.0,0.0
2000-01-19,25.74,80.18,0,0001,0.0,0.0,0.0
2000-01-20,25.74,80.18,0,0001,0.0,0.0,0.0
2000-01-21,25.74,80.18,0,0001,0.0,0.0,0.0
2000-01-22,25.74,80.18,0,0001,0.0,0.0,0.0
2000-01-23,25.74,80.18,0,0001,0.0,0.0,0.0
2000-01-24,25.74,80.18,0,0001,0.0,0.0,0.0
2000-01-25,25.74,80.18,0,0001,0.0,0.0,0.0
2000-01-26,25.74,80.18,0,0001,0.0,0.0,0.0
2000-01-27,25.74,80.18,0,0001,3.1623043e-05,3.1785123e-05,0.0
2000-01-28,25.74,80.18,0,0001,0.0,0.0,0.0
2000-01-29,25.74,80.18,0,0001,0.0,0.0,0.0
2000-01-30,25.74,80.18,0,0001,0.0,0.0,0.0
2000-01-31,25.74,80.18,0,0001,0.0,0.0,0.0
2000-02-01,25.74,80.18,0,0001,0.0,0.0,0.0
2000-02-02,25.74,80.18,0,0001,0.0,0.0,0.0
2000-02-03,25.74,80.18,0,0001,0.0,0.0,0.0
2000-02-04,25.74,80.18,0,0001,0.0,0.0,0.0
2000-02-05,25.74,80.18,0,0001,9.724672e-07,9.724672e-07,0.0
2000-02-06,25.74,80.18,0,0001,0.0,0.0,0.0
2000-02-07,25.74,80.18,0,0001,0.0,0.0,0.0
2000-02-08,25.74,80.18,0,0001,0.0,0.0,0.0
2000-02-09,25.74,80.18,0,0001,0.0,0.0,0.0
2000-02-10,25.74,80.18,0,0001,0.0,0.0,0.0
2000-02-11,25.74,80.18,0,0001,0.0,0.0,0.0
2000-02-12,25.74,80.18,0,0001,0.0,0.0,0.0
2000-02-13,25.74,80.18,0,0001,0.0,0.0,0.0
2000-02-14,25.74,80.18,0,0001,0.0,0.0,0.0
2000-02-15,25.74,80.18,0,0001,0.0,0.0,0.0
2000-02-16,25.74,80.18,0,0001,0.0,0.0,0.0
2000-02-17,25.74,80.18,0,0001,0.0,0.0,0.0
2000-02-18,25.74,80.18,0,0001,0.0,0.0,0.0
2000-02-19,25.74,80.18,0,0001,0.0,0.0,0.0
2000-02-20,25.74,80.18,0,0001,0.0,0.0,0.0
2000-02-21,25.74,80.18,0,0001,0.0,0.0,0.0
2000-02-22,25.74,80.18,0,0001,6.313214e-06,6.408529e-06,0.0
2000-02-23,25.74,80.18,0,0001,0.0,0.0,0.0
2000-02-24,25.74,80.18,0,0001,0.0,0.0,0.0
2000-02-25,25.74,80.18,0,0001,0.0,0.0,0.0
2000-02-26,25.74,80.18,0,0001,0.0,0.0,0.0
2000-02-27,25.74,80.18,0,0001,0.0,0.0,0.0
2000-02-28,25.74,80.18,0,0001,0.0,0.0,0.0
2000-02-29,25.74,80.18,0,0001,0.0,0.0,0.0
2000-03-01,25.74,80.18,0,0001,0.0,0.0,0.0
2000-03-02,25.74,80.18,0,0001,2.2690903e-05,2.2528824e-05,0.0
2000-03-03,25.74,80.18,0,0001,0.0,0.0,0.0
2000-03-04,25.74,80.18,0,0001,0.0,0.0,0.0
2000-03-05,25.74,80.18,0,0001,0.0,0.0,0.0
2000-03-06,25.74,80.18,0,0001,0.0,0.0,0.0
2000-03-07,25.74,80.18,0,0001,0.0,0.0,0.0
