valid_time,latitude,longitude,number,expver,t2m,sp,crr,lsrr,ptype,u100,v100,cbh
2000-01-01,25.74,80.18,0,0001,283.95532,100251.44,0.0,0.0,0.0,-2.7420025,0.5318865,
2000-01-02,25.74,80.18,0,0001,283.66772,100332.0,0.0,0.0,0.0,-0.5983352,-0.48916256,
2000-01-03,25.74,80.18,0,0001,280.28906,100237.625,0.0,0.0,0.0,2.6340113,-0.6673735,
2000-01-04,25.74,80.18,0,0001,280.64526,100172.0,0.0,0.0,0.0,2.3406525,-0.35027605,
2000-01-05,25.74,80.18,0,0001,279.9524,100273.25,0.0,0.0,0.0,0.53679997,-1.2776337,
2000-01-06,25.74,80.18,0,0001,280.5254,100215.125,0.0,0.0,0.0,4.1058483,-0.7341957,
2000-01-07,25.74,80.18,0,0001,280.66846,100173.75,0.0,0.0,0.0,2.4178867,0.25382954,
2000-01-08,25.74,80.18,0,0001,280.50464,100093.94,0.0,0.0,0.0,0.83372647,2.8161268,
2000-01-09,25.74,80.18,0,0001,283.84106,99899.25,0.0,0.0,0.0,-1.296978,2.0115175,
2000-01-10,25.74,80.18,0,0001,286.36157,99742.625,0.0,0.0,0.0,-4.774617,1.8794174,
2000-01-11,25.74,80.18,0,0001,285.4414,99966.25,0.0,0.0,0.0,-4.796336,-0.79094255,
2000-01-12,25.74,80.18,0,0001,287.71338,99735.81,0.0,0.0,0.0,-5.433017,3.6886778,
2000-01-13,25.74,80.18,0,0001,290.05957,99643.0,0.0,0.0,0.0,-2.4908466,5.200721,2723.944
2000-01-14,25.74,80.18,0,0001,286.1101,99760.44,0.0,0.0,1.0,0.58633333,-1.9943848,
2000-01-15,25.74,80.18,0,0001,285.22437,99878.44,0.0,0.0,0.0,-1.3530045,-4.160556,1347.1685
2000-01-16,25.74,80.18,0,0001,283.13696,100345.625,0.0,0.0,0.0,2.5892382,-5.596386,1349.6201
2000-01-17,25.74,80.18,0,0001,281.46118,100456.75,0.0,0.0,0.0,5.531637,-3.300231,
2000-01-18,25.74,80.18,0,0001,280.7661,100400.875,0.0,0.0,0.0,4.9661646,-2.9017534,
2000-01-19,25.74,80.18,0,0001,283.85742,100093.125,0.0,0.0,0.0,6.173911,-1.9222813,
2000-01-20,25.74,80.18,0,0001,284.1355,99645.69,0.0,0.0,0.0,6.8405933,-2.0296202,
2000-01-21,25.74,80.18,0,0001,283.05884,99803.94,0.0,0.0,0.0,-1.1178951,1.4064426,
2000-01-22,25.74,80.18,0,0001,285.25537,99891.75,0.0,0.0,0.0,-5.972683,2.0460606,
2000-01-23,25.74,80.18,0,0001,284.50977,99996.81,0.0,0.0,0.0,-2.5171652,1.3448076,2544.5005
2000-01-24,25.74,80.18,0,0001,283.98193,100199.0,0.0,0.0,0.0,0.5793673,-3.0352306,
2000-01-25,25.74,80.18,0,0001,283.06396,100332.56,0.0,0.0,0.0,-3.7927027,0.47116214,
2000-01-26,25.74,80.18,0,0001,287.6538,100218.06,0.0,0.0,0.0,-5.8163643,3.8950005,
