valid_time,latitude,longitude,number,expver,t2m,sp,lsrr,ptype,u100,v100,cbh
1980-01-01,25.74,80.18,0,0001,286.99414,99634.125,0.0,0.0,-5.2523584,3.5269403,2458.16
1980-01-02,25.74,80.18,0,0001,286.56006,99704.125,0.0,0.0,-3.6834078,0.7333845,1090.1279
1980-01-03,25.74,80.18,0,0001,286.88525,100081.94,0.0,0.0,-0.7407193,-3.7196484,153.42763
1980-01-04,25.74,80.18,0,0001,282.71606,100380.44,0.0,0.0,1.7375498,-4.3675766,
1980-01-05,25.74,80.18,0,0001,282.90552,100483.25,0.0,0.0,-0.1565718,-2.5949974,
1980-01-06,25.74,80.18,0,0001,280.2334,100406.25,0.0,0.0,2.5436373,-4.4116917,
1980-01-07,25.74,80.18,0,0001,279.35596,100435.94,0.0,0.0,4.4505444,-1.7049847,
1980-01-08,25.74,80.18,0,0001,280.63672,100399.625,0.0,0.0,1.1101112,-1.2859125,
1980-01-09,25.74,80.18,0,0001,281.81006,100258.44,0.0,0.0,0.48960096,-2.2343922,
1980-01-10,25.74,80.18,0,0001,279.85864,100055.0,0.0,0.0,2.0188599,-0.6992451,
1980-01-11,25.74,80.18,0,0001,282.35156,100011.19,0.0,0.0,2.6076002,-4.1956797,2270.23
1980-01-12,25.74,80.18,0,0001,284.55493,100094.375,0.0,1.0,-3.894948,-3.4557781,1948.0339
1980-01-13,25.74,80.18,0,0001,282.13452,100260.0,0.0,0.0,0.70484513,-3.3618507,6451.3438
1980-01-14,25.74,80.18,0,0001,281.12842,100375.75,0.0,0.0,1.9434156,-4.2107296,
1980-01-15,25.74,80.18,0,0001,278.94336,100320.875,0.0,0.0,1.0622835,-3.0655613,
1980-01-16,25.74,80.18,0,0001,283.97266,100228.56,0.0,0.0,-3.0195684,0.3777907,2026.856
1980-01-17,25.74,80.18,0,0001,285.83105,100137.56,0.0,0.0,-1.6550674,2.199915,2237.6455
1980-01-18,25.74,80.18,0,0001,287.57495,100247.81,0.0,0.0,-1.2017403,-0.56177217,2125.3945
1980-01-19,25.74,80.18,0,0001,286.8706,100354.25,1.0253871e-06,1.0,0.6233981,-2.814168,2664.4927
1980-01-20,25.74,80.18,0,0001,284.7307,100344.69,0.0,0.0,2.6732006,-4.805541,
1980-01-21,25.74,80.18,0,0001,286.5376,100275.94,0.0,0.0,-0.8902456,-2.2390795,2116.8955
1980-01-22,25.74,80.18,0,0001,286.18042,100128.875,0.0,0.0,0.99464905,-5.2826777,2292.3254
1980-01-23,25.74,80.18,0,0001,282.2771,100074.94,0.0,0.0,4.9158745,-3.344984,
1980-01-24,25.74,80.18,0,0001,281.43066,99858.375,0.0,0.0,5.4609566,-1.1685181,
1980-01-25,25.74,80.18,0,0001,281.0559,100074.31,0.0,0.0,1.0895195,-0.49344492,
1980-01-26,25.74,80.18,0,0001,282.33936,99943.5,0.0,0.0,-1.9500284,1.6262369,
1980-01-27,25.74,80.18,0,0001,285.687,99513.25,0.0,0.0,-3.880371,0.34445006,
1980-01-28,25.74,80.18,0,0001,286.438,99375.375,0.0,0.0,2.6118279,-1.4578114,1963.4619
1980-01-29,25.74,80.18,0,0001,284.32544,99632.81,0.0,0.0,4.065588,-3.9051876,
1980-01-30,25.74,80.18,0,0001,282.14087,99704.56,0.0,0.0,7.6692324,-1.4563932,
1980-01-31,25.74,80.18,0,0001,279.58984,99965.625,0.0,0.0,1.9213486,-3.5740728,
1980-02-01,25.74,80.18,0,0001,280.69336,99906.81,0.0,0.0,0.69235724,-0.6783331,
1980-02-02,25.74,80.18,0,0001,286.0791,99666.81,0.0,0.0,-6.7172213,1.2550068,2650.4485
1980-02-03,25.74,80.18,0,0001,286.63354,99883.125,0.0,0.0,-6.0375023,1.3492994,2460.7063
1980-02-04,25.74,80.18,0,0001,289.313,99634.06,0.0,0.0,-4.6294565,3.002635,2304.7183
1980-02-05,25.74,80.18,0,0001,285.73486,100020.06,0.0,0.0,0.032392025,-3.226818,
1980-02-06,25.74,80.18,0,0001,281.41382,100161.0,0.0,0.0,4.5130663,-4.398738,
1980-02-07,25.74,80.18,0,0001,280.02686,100187.31,0.0,0.0,6.6131926,-1.6117258,
1980-02-08,25.74,80.18,0,0001,280.38696,100178.25,0.0,0.0,4.8459206,-2.3245592,
1980-02-09,25.74,80.18,0,0001,281.48828,100167.19,0.0,0.0,2.360118,-2.9398708,
1980-02-10,25.74,80.18,0,0001,283.66992,100116.75,0.0,0.0,3.475586,-4.599737,
1980-02-11,25.74,80.18,0,0001,282.17676,100181.5,0.0,0.0,3.7181559,-3.1167727,
1980-02-12,25.74,80.18,0,0001,281.83203,100294.5,0.0,0.0,1.5176468,-1.1668825,
1980-02-13,25.74,80.18,0,0001,284.32593,100167.94,0.0,0.0,0.13583714,-0.26318628,
1980-02-14,25.74,80.18,0,0001,283.4685,99849.75,0.0,0.0,-2.3820896,2.9024916,8886.801
1980-02-15,25.74,80.18,0,0001,289.62866,99898.94,0.0,1.0,-3.6083288,-2.0208578,3602.12
1980-02-16,25.74,80.18,0,0001,289.24048,99694.69,0.0,0.0,-5.585559,-0.20083982,
1980-02-17,25.74,80.18,0,0001,286.59033,99777.875,0.0,0.0,0.60393316,-3.8646288,
1980-02-18,25.74,80.18,0,0001,287.354,100018.56,0.0,0.0,0.37441486,-2.6283617,
1980-02-19,25.74,80.18,0,0001,288.4287,100015.875,0.0,0.0,-0.24272674,-1.511157,
1980-02-20,25.74,80.18,0,0001,287.9834,100080.25,0.0,0.0,0.43477893,1.6966009,7374.086
